Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
-5.980658544865068,37.38760500998731,0.0,4185024.2,21-58-21,0.2862711,0.49251235,-0.8674183,77.0,-0.07086037,-0.12095132,0.089186326
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.39188957,0.4041248,0.33482456,85.0,-0.017104227,-0.19425514,-0.2003638
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.43753147,0.0578281,0.4536271,86.0,-0.007330383,-0.40317106,0.18325958
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.34012794,-0.2842564,0.8679304,84.0,-0.007330383,-0.40317106,0.18325958
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,0.16997433,0.15748936,0.06054592,81.0,0.91874135,-0.057421334,0.014660766
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,0.21249199,0.5035803,-0.92907685,78.0,0.91874135,-0.057421334,0.014660766
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.7396593,0.09875268,0.70811677,76.0,0.24556783,-0.6560693,-0.09896017
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.34560394,0.045578837,0.50723684,74.0,0.24556783,-0.6560693,-0.09896017
-5.980663817172444,37.3876086739774,0.0,0.0,21-58-21,-0.17929745,0.9169477,0.97210777,70.0,0.8772025,0.1966986,0.08674286
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.5546789,0.59033316,-0.54165936,65.0,0.8772025,0.1966986,0.08674286
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.16902542,0.6220198,-0.13609558,61.0,1.0726794,0.118507855,0.17715092
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,0.15782738,0.12490022,0.1787141,59.0,0.21624629,0.0036651916,0.039095376
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,0.32847595,0.12905389,0.5011332,57.0,0.21624629,0.0036651916,0.039095376
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,0.4960289,0.55194443,0.87466335,55.0,0.29077184,-0.40683624,0.22724187
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.19797802,-0.4173693,0.19260019,54.0,0.29077184,-0.40683624,0.22724187
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.37343025,-0.48715997,0.32934016,54.0,0.07941248,0.2284636,-0.013439035
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.65553856,-0.27423832,0.11903483,54.0,0.07941248,0.2284636,-0.013439035
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,-0.81078243,-0.2566673,-0.42127663,52.0,0.2003638,0.037873644,0.11362094
-5.980671185564642,37.387612043763376,0.0,0.75210786,21-58-22,0.14439392,-0.52740777,0.02254498,49.0,0.44959682,0.42149702,0.0842994
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,0.16173935,-0.3501788,-0.09822786,47.0,0.44959682,0.42149702,0.0842994
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.026611328,-0.2238415,-0.9214494,44.0,0.60231316,0.09896017,0.14172074
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,0.36827564,-0.29616228,-0.13708627,41.0,0.60231316,0.09896017,0.14172074
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.24150848,-0.2854813,-0.8087276,38.0,0.5644395,-0.10995574,0.1160644
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,0.22991085,-0.0371498,-0.19793618,35.0,0.5644395,-0.10995574,0.1160644
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.36943626,0.4007913,0.638417,33.0,0.29932398,-0.008552114,-0.029321533
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.909503,0.57658833,0.2412821,30.0,0.29932398,-0.008552114,-0.029321533
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.3595667,0.2003996,0.18534541,26.0,0.5717699,-0.118507855,0.22602014
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.26240063,-0.001405701,-0.3930291,24.0,0.267559,0.047647487,0.12583824
-5.980676908259464,37.38761927296126,0.0,1.6515944,21-58-23,-0.19859314,-0.21438153,-0.18669152,22.0,0.267559,0.047647487,0.12583824
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,0.14329052,-0.2988953,-0.5534245,22.0,-0.04886922,0.11728613,0.03176499
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,0.6805382,-0.68604314,0.33370543,22.0,-0.04886922,0.11728613,0.03176499
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,0.021619797,-1.3537794,1.0988538,24.0,-0.48991394,0.112399206,-0.20525073
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,-0.21767807,-0.77037877,0.34402776,27.0,-0.48991394,0.112399206,-0.20525073
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,-0.5902357,-0.6898215,0.72927856,32.0,-0.81000733,0.1160644,-0.41050145
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,-0.14238548,-0.43916738,0.90891767,37.0,-0.81000733,0.1160644,-0.41050145
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,-0.17057705,0.20354785,0.9191723,42.0,-0.9896017,0.042760566,-0.1600467
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,-0.3018856,0.0062825084,0.5999174,47.0,-0.87598073,-0.037873644,-0.18570304
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,0.0068149567,0.014501184,0.21387625,51.0,-0.87598073,-0.037873644,-0.18570304
-5.980682021737536,37.38762678952017,0.0,2.577085,21-58-24,0.42520332,-0.037617713,0.10508084,55.0,-0.68416905,-0.1685988,-0.20891592
-5.980687316641395,37.38763445024006,0.4483135,3.5376344,21-58-25,0.59232044,0.30191475,0.47230053,59.0,-0.68416905,-0.1685988,-0.20891592
